o5F0oYdV.1,11:32:02,T10,Team T10,0,LOG_STARTED,On JOSEPHJ-MYHP at 2015-10-16T18:32:02.392Z
o5F0oYdV.2,11:32:02,T10,Team T10,100,ZhgiUCL0,1unDNMQ8D8_v==
o5F0oYdV.3,11:32:02,T10,Team T10,100,ZhgiUCL0,1unDNMM1R5
o5F0oYdV.4,11:32:02,T10,Team T10,100,ZhgiUCL0,1unDNJ7j2Z9yNgdFYnLE==
o5F0oYdV.5,11:32:02,T10,Team T10,100,ZhgiUCL0,9w8_3vFkBcn==
o5F0oYdV.6,11:32:02,T10,Team T10,100,NeXfQtGfMS4,9ncv5lSfJ7kh=
o5F0oYdV.7,11:32:02,T10,Team T10,100,ZhgiUCL0,97eC7pXYR27==
o5F0oYdV.8,11:32:02,T10,Team T10,100,ZhgiUCL0,1unDNMCvw1g9o=
o5F0oYdV.9,11:32:02,T10,Team T10,100,ZhgiUCL0,1unDNMT8v4wp==
o5F0oYdV.10,11:32:02,T10,Team T10,100,ZhgiUCL0,9cit=
o5F0oYdV.11,11:32:02,T10,Team T10,100,OheuKkR,1unDGBNYTV3cL3jG=
o5F0oYdV.12,11:32:02,T10,Team T10,101,qlM5JMFKwLS,EBcuG8VsFTS7gmYX==
o5F0oYdV.13,11:32:02,T10,Team T10,101,xnOhQSBuw,EBcuG26wlJSddM
o5F0oYdV.14,11:32:02,T10,Team T10,101,qlM5JMFKwLS,EBcuG7TBfN75vG
o5F0oYdV.15,11:32:02,T10,Team T10,101,qlM5JMFKwLS,EBcuG7_DyM9vol
o5F0oYdV.16,11:32:02,T10,Team T10,101,Co58NVKv,MC1pQB4HxNdC=
o5F0oYdV.17,11:32:02,T10,Team T10,101,Co58NVKv,EBcuG9Zs==
o5F0oYdV.18,11:32:02,T10,Team T10,101,Co58NVKv,EBcuG7OJA0
o5F0oYdV.19,11:32:02,T10,Team T10,101,qlM5JMFKwLS,EBcuG5GCz0X4==
o5F0oYdV.20,11:32:02,T10,Team T10,102,4s4pB48efFa,iIuPyqg667bTyf
o5F0oYdV.21,11:32:02,T10,Team T10,102,4s4pB48efFa,qsrDwfrhu
o5F0oYdV.22,11:32:02,T10,Team T10,102,gvnsFddZ,qrjoWcd7gItEl
o5F0oYdV.23,11:32:02,T10,Team T10,102,gvnsFddZ,qNpxspy=
o5F0oYdV.24,11:32:02,T10,Team T10,102,4s4pB48efFa,iIuPyo0o11vCnf6G==
o5F0oYdV.25,11:32:02,T10,Team T10,102,gvnsFddZ,qntRN9j6=
o5F0oYdV.26,11:32:02,T10,Team T10,102,gvnsFddZ,qGCIUWh7
o5F0oYdV.27,11:32:02,T10,Team T10,103,HASeYm7dZ4Y,3Cpm3gig1
o5F0oYdV.28,11:32:02,T10,Team T10,103,OCUq5s3XZ,VQiFVDth==
o5F0oYdV.29,11:32:02,T10,Team T10,103,TDbh2vcY,3VXA9
o5F0oYdV.30,11:32:02,T10,Team T10,103,OCUq5s3XZ,VQiFVE6h==
o5F0oYdV.31,11:32:02,T10,Team T10,103,HASeYm7dZ4Y,VQiFVHa_Qp
o5F0oYdV.32,11:32:02,T10,Team T10,103,OCUq5s3XZ,VQiFVE_k4=
o5F0oYdV.33,11:32:02,T10,Team T10,103,HASeYm7dZ4Y,3F9i=
o5F0oYdV.34,11:32:02,T10,Team T10,103,HASeYm7dZ4Y,3IY==
o5F0oYdV.35,11:32:02,T10,Team T10,103,TDbh2vcY,3Bhj3HfgN644GEr==
o5F0oYdV.36,11:32:02,T10,Team T10,103,TDbh2vcY,VQiFVFk54s1vjHu6Wde5==
o5F0oYdV.37,11:32:02,T10,Team T10,104,sJcgYLwsI,zXAwOWFBqk0r9B
o5F0oYdV.38,11:32:02,T10,Team T10,104,lHa4RFAIIXM,zXAwO0ywz=
o5F0oYdV.39,11:32:02,T10,Team T10,104,xKt7VOFt,zXAwO3Kq==
o5F0oYdV.40,11:32:02,T10,Team T10,104,lHa4RFAIIXM,HDs4QBLs=
o5F0oYdV.41,11:32:02,T10,Team T10,104,xKt7VOFt,HJv9JXAvx5J==
o5F0oYdV.42,11:32:02,T10,Team T10,104,lHa4RFAIIXM,zXAwO1HCA6Mim=
o5F0oYdV.43,11:32:02,T10,Team T10,104,xKt7VOFt,HJflXPFzGhW__
o5F0oYdV.44,11:32:02,T10,Team T10,104,xKt7VOFt,zXAwO2FxphRmo=
o5F0oYdV.45,11:32:02,T10,Team T10,104,lHa4RFAIIXM,HUbbXGO==
o5F0oYdV.46,11:32:02,T10,Team T10,105,5Q06Q3wXs,c4onGeCoD4Lpml
o5F0oYdV.47,11:32:02,T10,Team T10,105,YOYUJXAdsRA,k1arO0s==
o5F0oYdV.48,11:32:02,T10,Team T10,105,aRhXN6FY,kS8i=
o5F0oYdV.49,11:32:02,T10,Team T10,105,5Q06Q3wXs,c4onGet4v0
o5F0oYdV.50,11:32:02,T10,Team T10,105,YOYUJXAdsRA,k2aq=
o5F0oYdV.51,11:32:02,T10,Team T10,105,YOYUJXAdsRA,c4onGkOitkRqbi
o5F0oYdV.52,11:32:02,T10,Team T10,106,JYiWdlZsb,QcGe3zhVVuUT9Ff1==
o5F0oYdV.53,11:32:02,T10,Team T10,106,CWgK6f3Ibgo,YLhR8ijA7cQ679c==
o5F0oYdV.54,11:32:02,T10,Team T10,107,T56g5EYWV,0juzVU8dM7PpdpQ9DDQH==
o5F0oYdV.55,11:32:02,T10,Team T10,107,Y6n72H7X,8Zmkh
o5F0oYdV.56,11:32:02,T10,Team T10,107,T56g5EYWV,0juzVQttV7GImQdG_w1H==
o5F0oYdV.57,11:32:02,T10,Team T10,107,T56g5EYWV,0juzVT1hS=
o5F0oYdV.58,11:32:02,T10,Team T10,107,T56g5EYWV,0juzVP40Ei9B==
o5F0oYdV.59,11:32:02,T10,Team T10,108,pamURQvHF3u,LaFf3Qn==
o5F0oYdV.60,11:32:02,T10,Team T10,108,wco6YWrrF,DqMqO8MvC1rwWfzG2gZv==
o5F0oYdV.61,11:32:02,T10,Team T10,108,wco6YWrrF,DqMqO6BQxuOAH8pKd
o5F0oYdV.62,11:32:02,T10,Team T10,108,pamURQvHF3u,LdKnM
o5F0oYdV.63,11:32:02,T10,Team T10,109,3LEJd8Ycosj,pSQ5etp8=
o5F0oYdV.64,11:32:02,T10,Team T10,109,aNGVkeUWo,h14gaw9VrGmUPTM4==
o5F0oYdV.65,11:32:02,T10,Team T10,109,3LEJd8Ycosj,pZI2aeVevNnMYy1==
o5F0oYdV.66,11:32:02,T10,Team T10,109,3LEJd8Ycosj,pNRM76naDtg==
o5F0oYdV.67,11:32:02,T10,Team T10,109,aNGVkeUWo,h14garn6vEvZ==
o5F0oYdV.68,11:32:02,T10,Team T10,109,fOXMhh3X,pIKMksU66trb=
